energy,liveness,tempo,speechiness,acousticness,instrumentalness,danceability,duration_ms,loudness,valence,name,artist,track_link,id,mood
0.825,0.108,144.17,0.0621,0.00353,0.0,0.448,216827,-5.307,0.226,FEEL NOTHING,The Plot In You,https://open.spotify.com/track/4m5FMVGO6GELhcL0byhQj9,4xDwCYhobDehSBGUmd5H6Y,Angry
0.921,0.262,107.049,0.118,5.08e-05,1.47e-06,0.539,238213,-2.688,0.232,Best Day,Electric Callboy,https://open.spotify.com/track/6gfUOprNMeD8amncMOSFl0,6xrqktHyZEDvPJSEsxuwYz,Angry
0.872,0.253,143.02,0.045,0.000215,0.00026,0.425,192875,-4.217,0.4,Dying Light,Micah Ariss,https://open.spotify.com/track/5hkkcwp36tA1XZWfW4iEAQ,5Kqq16dLYPsk1k4q3sGY83,Angry
0.94,0.0759,134.876,0.0528,0.00369,0.0,0.387,238573,-4.16,0.444,Satellite,Rise Against,https://open.spotify.com/track/5O9Dz0h08LuBi0aVvDcylh,5sG3G54H21hNfd5etlheoe,Angry
0.954,0.466,114.964,0.108,0.00528,0.0,0.643,224087,-3.255,0.54,Leave It All Behind,Cult To Follow,https://open.spotify.com/track/23SOLLrMMW31ebUFfuGNW6,4I58RPHVzDldHfK3t5HiZA,Angry
0.76,0.0955,182.071,0.129,0.0357,0.0448,0.34,233593,-7.753,0.0381,Way Of The Warrior Part I - Hard Diss Rap Beat Mix,Fifty Vinc,https://open.spotify.com/track/0WwrwEmAXGy6keX7noxBYO,6E7mneOYKKKFivxPHeRWE7,Angry
0.823,0.375,129.969,0.0394,0.00187,0.0,0.59,170427,-4.606,0.571,End of Me,Ashes Remain,https://open.spotify.com/track/13YWByXibBltt3T5u3IcT7,3tfTwukbzAVanIvsYeIEmj,Angry
0.693,0.225,92.031,0.22,0.0168,0.0,0.751,192813,-6.021,0.559,Rap Gamez Callin,Stevie Stone,https://open.spotify.com/track/4U0p10TUdRyhQ06ZqGAtxx,3hrh0gPGdpZiNYxkgpYe2Y,Angry
0.928,0.12,109.996,0.0515,0.282,0.00147,0.729,194182,-4.279,0.322,Fearless Pt. II,Lost Sky,https://open.spotify.com/track/5HcvyLVQgHszX7Fq11s2IW,4VZH6OfxPy1nNE7KbtVKyK,Angry
0.938,0.14,94.019,0.0715,0.000644,0.00246,0.509,204347,-3.883,0.335,Whispers in the Dark,Skillet,https://open.spotify.com/track/10K74dbHDqw7hmtSmLfs7t,6rSuL1ViLO7Aljn2WD09s4,Angry
0.67,0.35,95.413,0.0449,0.00253,0.0119,0.674,223253,-6.36,0.237,Let It Burn,STIC.MAN Of Dead Prez (AKA) Stic,https://open.spotify.com/track/5ATxP74ChBhhQBUNzPByGv,7Kho8NahTcrqnCK5IZGwJb,Angry
0.95,0.0377,178.018,0.0641,0.00021,0.0,0.376,179160,-4.067,0.438,Painkiller,Three Days Grace,https://open.spotify.com/track/67EfIBpKlV37lSIDOs77AN,6OMO6WdRhSfjMPAiPT94wH,Angry
0.865,0.056,183.052,0.121,0.000583,0.0,0.564,198173,-7.384,0.726,Red Flag,Billy Talent,https://open.spotify.com/track/6ymPrHNamXK1ZkS9nxM8HM,2RZWdE8kYPlCAcRUYDeuLC,Angry
0.702,0.0948,136.0,0.195,0.0925,0.0,0.806,185294,-7.578,0.101,Lights Go Down,Bazanji,https://open.spotify.com/track/4eJNNuBUMdzA3Yn0zrz2Xh,48KQyOEsDflKNbt4yq6HgY,Angry
0.7,0.0895,172.103,0.0411,4.55e-05,0.0188,0.477,203840,-10.173,0.62,Bed of Nails,Neko Fuzz,https://open.spotify.com/track/781bCQjAUwwvfqlLV1ktnH,1drGUJR281HSpGvXIJVBzx,Angry
0.748,0.12,128.008,0.145,0.0159,2.84e-05,0.717,208152,-5.731,0.243,Get Out My Way,Tedashii,https://open.spotify.com/track/6xbZaeFj8BPE3HGXF7VVjX,51DaW6U334rZ19HB0oduYe,Angry
0.974,0.3,194.198,0.169,0.00123,0.0,0.328,206826,-2.863,0.334,The Perfect Crime,zebrahead,https://open.spotify.com/track/5W8YXBz9MTIDyrpYaCg2Ky,5rRwE8PjHsBXfvQ2toLAA9,Angry
0.939,0.084,122.951,0.0975,0.00368,8.97e-06,0.45,263036,-6.032,0.228,Surrender To Silence,Oceans in Silhouette,https://open.spotify.com/track/0KCr0VngtbPhpbngIIfiLW,529prY1yjjeM1XuzavQ6tF,Angry
0.714,0.08,88.449,0.0609,0.0381,0.0,0.595,325333,-5.705,0.141,"Go Hard, Go Home (feat. Giz, Swellz & Choppa)",Roy Jones Jr.,https://open.spotify.com/track/74inHQGjQj6w630tZ9wb2J,0Cw5iiA8OHWIhuIIA8u8N5,Angry
0.974,0.0932,102.043,0.0696,0.000385,1.8e-05,0.535,238379,-4.085,0.378,The Awakening,Onlap,https://open.spotify.com/track/4IXiFMhtXEbSEG8UoAeTwD,0X0wvZuhTcTU03Roz9fPJA,Angry
0.712,0.0873,92.486,0.161,0.0903,0.0,0.855,231573,-6.17,0.557,Body Head Anthem (feat. Mr. Magic & Choppa),Roy Jones Jr.,https://open.spotify.com/track/152yLjLT2T0W8kf2hutvo1,4EcF55fGcfwbZhGM7K1yLA,Angry
0.98,0.0674,170.093,0.529,0.000218,0.0,0.289,237176,-4.219,0.0511,Closing The Wound,Lift The Curse,https://open.spotify.com/track/2ZICF8SFI5tHttaLJKMY1X,1k1yhHj5QU8yIuuOjgfmNY,Angry
0.96,0.323,88.996,0.0976,0.000345,4.32e-06,0.529,199708,-3.41,0.495,Down,Above Snakes,https://open.spotify.com/track/4pT8JNDyymRZMpl5yGgJ3W,02wXqPYB92VrIAqVdbFGqU,Angry
0.983,0.294,103.096,0.0721,7.29e-05,0.0,0.402,175053,-3.816,0.363,Over And Under,Egypt Central,https://open.spotify.com/track/6Lah64e21cUytn0QXfuOoF,6Lah64e21cUytn0QXfuOoF,Angry
0.985,0.534,193.035,0.262,0.00827,0.0,0.378,213133,-3.86,0.41,Anthem,zebrahead,https://open.spotify.com/track/5vB0cxSvzXuVh15EDD0Cej,5vB0cxSvzXuVh15EDD0Cej,Angry
0.855,0.106,175.872,0.135,0.00234,0.00227,0.415,245709,-5.792,0.311,Go Hunt Your Dream,Fearless Motivation,https://open.spotify.com/track/2z8ZQQoQayPDvKaVQl7Nkf,2z8ZQQoQayPDvKaVQl7Nkf,Angry
0.721,0.824,117.139,0.386,0.062,0.0,0.536,191942,-6.44,0.393,All The Way Up (feat. Infared),Fat Joe,https://open.spotify.com/track/61QSuw5VlC0LTS8WMO356g,61QSuw5VlC0LTS8WMO356g,Angry
0.815,0.222,168.095,0.328,0.146,0.0,0.618,241891,-5.997,0.388,PTSD (Warrior Built),Tech N9ne,https://open.spotify.com/track/3ZpwwnyXZLppRzSY1DG5lx,3ZpwwnyXZLppRzSY1DG5lx,Angry
0.652,0.226,163.879,0.11,0.00451,3.32e-05,0.726,180056,-7.764,0.803,Satisfya,Imran Khan,https://open.spotify.com/track/6HGoVbCUr63SgU3TjxEVj6,6HGoVbCUr63SgU3TjxEVj6,Angry
0.978,0.117,87.016,0.0801,0.00189,1.36e-06,0.489,274387,-2.123,0.237,We Are,Hollywood Undead,https://open.spotify.com/track/5txqGXUFEWkbPHE1NznsWe,5txqGXUFEWkbPHE1NznsWe,Angry
0.964,0.168,177.884,0.105,0.000155,0.0,0.349,229000,-2.96,0.391,Bloodline,Awake At Last,https://open.spotify.com/track/2JFavDC3z5uk0s6TFwt3Q6,2JFavDC3z5uk0s6TFwt3Q6,Angry
0.951,0.222,115.004,0.0957,0.00216,0.0,0.518,215093,-6.206,0.339,Lose My Life,Papercut Massacre,https://open.spotify.com/track/2J6qr3pC10jeEg7dSN9YHG,2J6qr3pC10jeEg7dSN9YHG,Angry
0.946,0.0825,139.943,0.261,0.094,6.63e-05,0.716,200571,-3.412,0.587,Fight Back,NEFFEX,https://open.spotify.com/track/6KigD0mlF4VGDYiSEzAyYw,6KigD0mlF4VGDYiSEzAyYw,Angry
0.932,0.425,112.49,0.0485,0.00154,0.000142,0.554,242280,-3.424,0.478,Savior,Rise Against,https://open.spotify.com/track/1vcxF91pWs9uNwDROuiCPB,1vcxF91pWs9uNwDROuiCPB,Angry
0.989,0.392,100.001,0.176,0.000202,2.47e-05,0.447,183900,-2.738,0.281,Intoxicated,ALESTI,https://open.spotify.com/track/6KHeDBooGJzetzvqvttq24,6KHeDBooGJzetzvqvttq24,Angry
0.94,0.628,167.91,0.146,0.000352,3.18e-06,0.387,164791,-3.018,0.456,DArkSide,Bring Me The Horizon,https://open.spotify.com/track/19vHgVS1aukRiQWhTqfKnE,19vHgVS1aukRiQWhTqfKnE,Angry
0.96,0.32,98.018,0.128,0.000315,0.0,0.531,200800,-3.563,0.305,Panic,From Ashes to New,https://open.spotify.com/track/7mUaGkK1gMEuo3IUWCqF0P,7mUaGkK1gMEuo3IUWCqF0P,Angry
0.726,0.0976,139.059,0.282,0.259,0.0,0.763,126346,-6.405,0.349,Look At Me!,XXXTENTACION,https://open.spotify.com/track/7floNISpH8VF4z4459Qo18,7floNISpH8VF4z4459Qo18,Angry
