energy,liveness,tempo,speechiness,acousticness,instrumentalness,danceability,duration_ms,loudness,valence,name,artist,track_link,id,mood
0.37,0.0699,183.41,0.0288,0.231,0.866,0.502,214894,-12.129,0.0392,Sahara - Slowed,Hensonn,https://open.spotify.com/track/4txKMpsSfZRV6durPuHVq0,0gzcUqFgJrqyfXdkF8xkhk,Angry
0.448,0.139,138.115,0.0477,0.0273,0.00151,0.384,169744,-10.235,0.0524,Habibi Afghan,Mustafa Saboori,https://open.spotify.com/track/2zwcnaxahJOnYwG0H6tXTz,6eyUsfAm4oskVxLpeLJRJb,Angry
0.748,0.114,119.918,0.0356,0.235,0.849,0.716,169245,-6.06,0.338,RAVE,Dxrk ダーク,https://open.spotify.com/track/01kfSdF9zfcDLri5sSWEoL,01kfSdF9zfcDLri5sSWEoL,Angry
0.946,0.0977,193.595,0.284,0.00821,0.00717,0.571,178000,-1.797,0.436,Murder In My Mind - Slowed + Reverb,Kordhell,https://open.spotify.com/track/0HIeI7doCC3xlhlfFxXWMc,0HIeI7doCC3xlhlfFxXWMc,Angry
0.801,0.441,167.077,0.334,0.0287,2.97e-05,0.747,149461,-5.826,0.707,COWBELL WARRIOR!,SXMPRA,https://open.spotify.com/track/4eDE92gbf1iKImxBIKS64V,4eDE92gbf1iKImxBIKS64V,Angry
0.221,0.111,76.903,0.0388,0.986,0.925,0.53,342309,-14.774,0.0835,Driving Forever,DixDee,https://open.spotify.com/track/21eqHUmkMM3VncmAAlmxOb,21eqHUmkMM3VncmAAlmxOb,Angry
0.596,0.187,95.209,0.0485,0.773,0.864,0.515,139877,-9.771,0.257,MTG MALDIÇÃO ETERNA 1.0 - Slowed,DJ GLK,https://open.spotify.com/track/1M9loqxyiyampr3jkuHtD0,1M9loqxyiyampr3jkuHtD0,Angry
0.751,0.52,182.113,0.389,0.91,0.0926,0.722,266527,-9.191,0.167,Montagem Amedrontadora - Super Slowed,MC Renatinho Falcão,https://open.spotify.com/track/45pwaEkVsHKIOvDHyDxaUs,45pwaEkVsHKIOvDHyDxaUs,Angry
0.536,0.172,208.036,0.126,0.915,2.45e-06,0.555,133770,-8.969,0.58,Novinha do ABC [Vai Dar Problema],DJ DARKNESS,https://open.spotify.com/track/6ntXCvMaSEVctCRxuVnq6G,6ntXCvMaSEVctCRxuVnq6G,Angry
0.392,0.107,172.586,0.22,0.845,0.16,0.298,166609,-14.494,0.154,MTG MALDIÇÃO ETERNA 1.0 (Joka),DJ GLK,https://open.spotify.com/track/3c1Xz2MjPk0HJJusfIfFyV,3c1Xz2MjPk0HJJusfIfFyV,Angry
